Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
HipertensãoDiabetes Tipo 1Diabetes Tipo 2Hiper c/ Diabete por Macrorreg de Saúde/Município
Período:Jan/2002-Abr/2013
"Macrorreg de Saúde/Município";"Hipertensão";"Diabetes_Tipo_1";"Diabetes_Tipo_2";"Hiper_c/_Diabete"
".....  UCHOA";97;1;5;37
".....  POPULINA";456;7;20;130
".....  DIRCE REIS";116;2;7;23
".....  SANTA SALETE";160;4;6;60
".....  CATIGUA";887;20;22;274
".....  BIRIGUI";9848;318;650;3443
".....  GUARACAI";1497;31;72;553
".....  ADOLFO";529;27;11;198
".....  DOLCINOPOLIS";335;1;25;105
".....  RIOLANDIA";425;4;14;81
".....  COROADOS";877;27;41;242
".....  COSMORAMA";515;8;33;190
".....  SANTA CLARA D'OESTE";349;9;14;79
".....  SANTA FE DO SUL";2475;50;123;693
".....  ITAJOBI";2641;27;50;442
".....  SEBASTIANOPOLIS DO SUL";705;14;13;92
".....  BRAUNA";517;11;25;219
".....  BILAC";1784;29;52;409
".....  ONDA VERDE";449;6;12;122
".....  ORINDIUVA";570;14;35;133
".....  ARIRANHA";477;1;11;147
".....  OUROESTE";290;1;2;70
".....  NOVA CANAA PAULISTA";215;11;9;72
".....  NOVA GRANADA";1830;22;65;443
".....  NHANDEARA";1390;12;59;322
".....  BENTO DE ABREU";286;2;28;99
".....  BADY BASSITT";1511;35;70;374
".....  BALSAMO";685;20;9;210
".....  NOVA LUZITANIA";49;-;2;32
".....  MIRANDOPOLIS";59;4;1;22
".....  MONCOES";411;4;19;101
".....  MARAPOAMA";118;1;3;44
".....  ALTO ALEGRE";285;4;7;59
".....  APARECIDA D'OESTE";358;7;19;83
".....  MENDONCA";119;11;8;85
".....  MERIDIANO";621;12;42;193
".....  MESOPOLIS";127;1;9;39
".....  CARDOSO";1676;50;63;452
".....  PONTES GESTAL";54;6;-;27
".....  PAULO DE FARIA";834;13;20;279
